Wind Direction,Wind Speed (km/h),Wind Temp (degree celsius)
SE,21.6,14
NW,26.7,6.3
W,25.2,9.3
S,28.7,14.5
NW,27.2,6.4
N,17.8,5.9
NW,11.7,3.8
SW,28.6,14.8
NE,13.3,14.9
W,5.8,7.5
SE,23.2,2.4
N,17.2,0.4
N,9.4,14
NE,12.6,8.7
SE,18.2,11
SE,11.1,10.9
W,5.7,1.6
NE,25.8,1.6
W,20.1,7.4
N,13.8,4.3
N,21,13.5
NW,7.3,5.2
SW,24.1,0.7
S,17.4,9.2
SW,21.1,4
N,19.1,6
E,8.7,8.3
NW,13.3,5.7
E,16,6.8
NE,26.4,5
NW,19.5,1.7
NW,10.6,11.3
SW,23.2,3.2
S,19.6,4.3
SE,13.5,8.3
S,20.8,14
NW,7.5,0.7
N,22,9.4
W,13.1,2.3
NW,27.9,9.8
W,24.8,12.8
SE,15.3,9.8
NE,22.1,14.1
W,11.7,3.7
NW,13,0.8
N,11.8,9.6
NW,20.2,2.8
NW,24.9,8
NW,17.4,3.6
E,7.4,4.5
SE,20.9,12.6
E,18.8,10.4
S,14.7,12.5
SE,7.4,8
N,8.5,3.3
NW,21.6,3.6
N,13.1,2.1
E,23.3,14.7
SW,11.6,2
N,10.6,14.8
W,28,1.5
NW,21.4,3.6
SW,17,12
E,29.2,3.8
W,12.6,2.2
E,16.7,5.7
S,28.1,1.6
S,26.1,4.4
E,26.7,5.1
SW,14.4,6.6
E,26.4,14.4
NW,11.7,12.1
E,13.5,3.7
SW,13.2,6.2
E,10.7,11.3
S,22.9,5.7
NW,10.2,14
E,28.1,0.4
NW,18.9,4.7
NW,14.9,14.1
NE,7.9,14.8
NW,7.4,5.3
N,29.7,14.2
S,29.2,14.3
NW,9.5,13.1
E,23.4,2.7
N,14.3,11.9
W,27.5,5
N,22.9,14.4
SW,29,12.5
NE,15.6,12.2
E,14.9,0.2
E,10.7,8
NE,6,2.2
NW,13,11.5
NE,11.8,3
SE,25.1,2.4
SW,21.2,12.5
SW,26,0.6
NE,27.7,5.5
